Temperatura   , dT           , Intensitat   , dI           , Tensió          , dV
19.5615482330 , 0.0309985913 , 5.8404603004 , 0.0049999999 , 4537.4321289063 , 8.5377645493
19.6863899231 , 0.0520761274 , 5.8370003700 , 0.0049999999 , 4537.6376953125 , 6.4330902100
19.6261653900 , 0.0516930334 , 5.8460965157 , 0.0049999999 , 4529.5366210938 , 6.3068838120
19.4906597137 , 0.0389466062 , 5.8624639511 , 0.0049999999 , 4527.7612304688 , 7.6692452431
19.6487483978 , 0.0296780188 , 5.8657169342 , 0.0049999999 , 4534.8471679688 , 5.0555424690
19.5088500977 , 0.0379530936 , 5.8604636192 , 0.0049999999 , 4536.5234375000 , 8.5970840454
19.5471210480 , 0.0311784111 , 5.8557362556 , 0.0049999999 , 4526.8515625000 , 6.3199725151
19.6474952698 , 0.0357969813 , 5.8491611481 , 0.0049999999 , 4529.0664062500 , 6.2317118645
19.5483741760 , 0.0293094646 , 5.8421454430 , 0.0049999999 , 4523.1171875000 , 9.0976610184
19.5897789001 , 0.0281748902 , 5.8329000473 , 0.0049999999 , 4523.8325195313 , 5.4520554543
19.5364532471 , 0.0392959118 , 5.8426499367 , 0.0049999999 , 4517.3125000000 , 6.4776983261
19.6029510498 , 0.0340814143 , 5.8425121307 , 0.0049999999 , 4518.6933593750 , 7.3439412117
19.5132427216 , 0.0447778814 , 5.8445858955 , 0.0049999999 , 4524.3994140625 , 6.2407970428
19.6387119293 , 0.0433613695 , 5.8466963768 , 0.0049999999 , 4529.3349609375 , 6.0148367882
19.5408458710 , 0.0571868233 , 5.8438339233 , 0.0049999999 , 4528.4360351563 , 8.0255270004
19.5521373749 , 0.0517470762 , 5.8451647758 , 0.0049999999 , 4526.8232421875 , 6.9742846489
19.5446109772 , 0.0485259108 , 5.8466067314 , 0.0049999999 , 4520.8012695313 , 6.2279186249
19.5847606659 , 0.0394930057 , 5.8598709106 , 0.0049999999 , 4534.7958984375 , 8.2070341110
19.6267910004 , 0.0668005422 , 5.8693661690 , 0.0049999999 , 4527.4726562500 , 6.1465082169
19.5333175659 , 0.0405024216 , 5.8598408699 , 0.0049999999 , 4517.9340820313 , 7.1584768295
19.5998153687 , 0.0436682701 , 5.8528556824 , 0.0049999999 , 4523.7548828125 , 6.2696042061
19.6619224548 , 0.0330356397 , 5.8436384201 , 0.0049999999 , 4530.4892578125 , 6.5302290916
19.5866432190 , 0.0330732204 , 5.8455996513 , 0.0049999999 , 4512.7407226563 , 6.4860782623
19.5621757507 , 0.0479075573 , 5.8482189178 , 0.0049999999 , 4518.0991210938 , 6.7472920418
19.6462383270 , 0.0495456234 , 5.8596119881 , 0.0049999999 , 4518.5224609375 , 7.3729505539
19.5847606659 , 0.0566575862 , 5.8627839088 , 0.0049999999 , 4530.3349609375 , 6.6777663231
19.6016998291 , 0.0318192989 , 5.8486666679 , 0.0049999999 , 4516.2143554688 , 5.5296506882
19.5571575165 , 0.0357014202 , 5.8357172012 , 0.0049999999 , 4515.3671875000 , 7.8255267143
